Month,country,role,monthly_goldstein,monthly_event_count
2016-10-01,BEL,actor1,5.966666666666668,6
2016-10-01,BEL,actor2,6.733333333333334,3
2016-10-01,DEU,actor1,5.36,15
2016-10-01,DEU,actor2,6.750000000000001,8
2016-10-01,ESP,actor1,7.4,4
2016-10-01,ESP,actor2,3.7,2
2016-10-01,FRA,actor1,5.1,2
2016-10-01,FRA,actor2,4.0,12
2016-10-01,IRL,actor1,6.56923076923077,13
2016-10-01,IRL,actor2,5.285714285714286,7
2016-10-01,ITA,actor1,7.218181818181819,11
2016-10-01,ITA,actor2,0.4500000000000002,8
2016-10-01,NLD,actor1,6.2,2
2016-10-01,NLD,actor2,6.8,5
2016-10-01,PRT,actor2,0.0,1
2016-11-01,AUT,actor1,5.2,1
2016-11-01,AUT,actor2,5.2,1
2016-11-01,BEL,actor1,6.844444444444445,9
2016-11-01,BEL,actor2,2.6,6
2016-11-01,DEU,actor1,2.766666666666667,6
2016-11-01,DEU,actor2,4.933333333333334,3
2016-11-01,ESP,actor1,0.0,1
2016-11-01,ESP,actor2,0.0,1
2016-11-01,FIN,actor1,0.0,2
2016-11-01,FIN,actor2,0.0,1
2016-11-01,FRA,actor1,6.960000000000001,10
2016-11-01,FRA,actor2,7.4,2
2016-11-01,IRL,actor1,5.279999999999999,5
2016-11-01,IRL,actor2,3.466666666666667,3
2016-11-01,ITA,actor1,-8.0,4
2016-11-01,ITA,actor2,5.800000000000001,2
2016-11-01,NLD,actor1,7.4,2
2016-12-01,BEL,actor1,4.44,5
2016-12-01,DEU,actor1,1.2571428571428573,14
2016-12-01,DEU,actor2,6.485714285714286,7
2016-12-01,ESP,actor1,6.9,4
2016-12-01,ESP,actor2,5.933333333333334,3
2016-12-01,FRA,actor1,3.457142857142857,7
2016-12-01,FRA,actor2,4.833333333333333,6
2016-12-01,IRL,actor1,2.857142857142857,7
2016-12-01,IRL,actor2,2.96,5
2016-12-01,ITA,actor1,0.0,1
2016-12-01,ITA,actor2,4.616666666666666,12
2016-12-01,NLD,actor1,5.32,5
2016-12-01,NLD,actor2,0.0,1
2017-01-01,AUT,actor2,7.4,1
2017-01-01,BEL,actor1,-3.1999999999999997,3
2017-01-01,BEL,actor2,6.6000000000000005,3
2017-01-01,DEU,actor1,6.985714285714287,14
2017-01-01,DEU,actor2,3.1,4
2017-01-01,ESP,actor1,7.4,1
2017-01-01,ESP,actor2,7.400000000000001,6
2017-01-01,FIN,actor1,6.4,1
2017-01-01,FIN,actor2,6.4,1
2017-01-01,FRA,actor1,4.44,15
2017-01-01,FRA,actor2,3.7,2
2017-01-01,IRL,actor1,2.466666666666667,3
2017-01-01,IRL,actor2,6.2,2
2017-01-01,ITA,actor1,6.9,4
2017-01-01,ITA,actor2,7.4,2
2017-01-01,NLD,actor1,0.0,2
2017-01-01,NLD,actor2,6.342857142857143,7
2017-01-01,PRT,actor1,5.0,2
2017-02-01,AUT,actor1,0.0,1
2017-02-01,BEL,actor1,0.0,2
2017-02-01,BEL,actor2,6.4,2
2017-02-01,DEU,actor1,5.276923076923078,13
2017-02-01,DEU,actor2,6.13846153846154,13
2017-02-01,ESP,actor1,1.3,4
2017-02-01,ESP,actor2,6.4,2
2017-02-01,FRA,actor1,-0.39999999999999997,14
2017-02-01,FRA,actor2,1.9500000000000002,4
2017-02-01,IRL,actor1,0.0,2
2017-02-01,IRL,actor2,0.0,1
2017-02-01,ITA,actor1,5.6,4
2017-02-01,ITA,actor2,5.550000000000001,4
2017-02-01,NLD,actor1,6.300000000000001,2
2017-02-01,NLD,actor2,6.2,2
2017-02-01,PRT,actor1,0.0,2
2017-02-01,PRT,actor2,0.0,1
2017-03-01,BEL,actor1,-4.0,2
2017-03-01,DEU,actor1,4.300000000000001,8
2017-03-01,DEU,actor2,1.7400000000000002,10
2017-03-01,ESP,actor2,5.0,1
2017-03-01,FRA,actor1,3.090909090909091,11
2017-03-01,FRA,actor2,4.357142857142858,14
2017-03-01,IRL,actor1,6.577777777777778,9
2017-03-01,IRL,actor2,0.0,2
2017-03-01,ITA,actor1,1.25,4
2017-03-01,NLD,actor1,4.880000000000001,10
2017-03-01,NLD,actor2,5.218181818181819,11
2017-03-01,PRT,actor1,6.4,2
2017-03-01,PRT,actor2,6.4,1
2017-04-01,BEL,actor1,6.0,3
2017-04-01,BEL,actor2,6.733333333333334,3
2017-04-01,DEU,actor1,5.290909090909091,11
2017-04-01,DEU,actor2,2.56,5
2017-04-01,ESP,actor1,3.7,4
2017-04-01,ESP,actor2,0.0,2
2017-04-01,FRA,actor1,1.0545454545454547,11
2017-04-01,FRA,actor2,5.675,8
2017-04-01,IRL,actor1,2.16,5
2017-04-01,IRL,actor2,3.7,2
2017-04-01,ITA,actor1,6.4,1
2017-04-01,ITA,actor2,5.7,4
2017-04-01,NLD,actor1,6.9,2
2017-05-01,AUT,actor1,7.400000000000001,3
2017-05-01,BEL,actor1,5.0,1
2017-05-01,BEL,actor2,5.0,1
2017-05-01,DEU,actor1,6.300000000000001,6
2017-05-01,DEU,actor2,6.4,4
2017-05-01,ESP,actor1,0.0,1
2017-05-01,ESP,actor2,6.1000000000000005,4
2017-05-01,FRA,actor1,6.352380952380953,21
2017-05-01,FRA,actor2,6.013333333333334,15
2017-05-01,IRL,actor1,6.9750000000000005,8
2017-05-01,IRL,actor2,5.550000000000001,4
